ID;Bytes;SHA256;ArchivePath
kem-40;884262;b56b0bf869ec3f11bc1cd3b4388bccdc5f8c16187a638d3e5fa8e0d8d54cec50;kem-40/Algorithm specifications/YuanYang.KEM算法文本.pdf
kem-41;240531;03cdcd8e084d272989e4a7b8b814b10015c2ee4fd6c5d530e2a27c6a930ba714;kem-41/Algorithm specifications/Algorithm_specifications.pdf
kex-01;400805;ab64a177d72a862713835b8f14c72fad1dbde6082b514198d9d684e68605344e;kex-01/Algorithm specifications/ADKEX-Algorithm Specification.pdf
kex-02;1647267;b8a384d451491b332240b7783421e964b89eeca21aa58aa184e8d6d09942df6a;kex-02/Algorithm specifications/Algorithm specifications-AFS-KEX.pdf
kex-03;278239;0395a8c6b9603b2faf951c66f2be02b293e5a662c130290d86c3754559ee07de;kex-03/Algorithm specifications/CreTAKE Algorithm specifications.pdf
kex-04;389412;3de5d1db42cfb2af59e317729489b9f5a117763fca84fcaab51538ffd53a6de5;kex-04/Algorithm specifications/DKEX-Algorithm Specification.pdf
kex-05;720093;8a77fae093d869f907409d4055cacdd7a9bb899aa693341b069467828c3ec02d;kex-05/Algorithm specifications/Loom算法设计说明书.pdf
kex-06;898869;b8d4e2223bd94e0562c091fdd7ce7cfea26bf4e134ef0f6ca66bc554f14564dd;kex-06/Algorithm specifications/MAMBA_NIKE.pdf
kex-07;1382419;2580621b8253d395a090ed1e90f3574c5ce482d2d3e21bea79e58d7b4a212547;kex-07/Algorithm specifications/02-算法文本：NEV-AKE.pdf
kex-08;308513;66e6531aec35c7715205b2df54c79349a129e65ec9fb8f26b32840936db70555;kex-08/Algorithm specifications/Algorithm specifications.pdf
kex-09;390258;04b7cfff9dcaffd1677ecd01785aad10fa048b0473ec707831dc9e56d20ab6c9;kex-09/TriQ-KEX/Algorithm specifications/Algorithm specifications.pdf
hash-01;3278352;96a297867ec5fa8b10d4d5aa7282251c59e56536bfd33b66797f1736fdfcb76c;hash-01/AFS-TrEDM/Algorithm specifications/AFS-TrEDM_S6_Specification_en.pdf
hash-02;241935;2b99ad1648ee8f13432623c96bcef3a76a0837e1913b28613f7f94408dee4b37;hash-02/AXIS/Algorithm specifications/AXIS-Algorithm Description.pdf
hash-03;1501626;1df58eec9b28ca09720928858de7a212f84b5adcf162da2a808bde8e289bee4f;hash-03/C Hash/Algorithm specifications/2 - Algorithm specifications - C HASH.pdf
hash-04;383922;c1201fe48fe45033c9a97e39ff83928e683ac1d69703ec31987752f6f7dfaa69;hash-04/CHAMP/Algorithm specifications/CHAMP Algorithm Specifications.pdf
hash-05;833965;65ae853b822e967f63eacb441ffeb68c37861441e7e3e4812c519f6de71c7e87;hash-05/uHash/Algorithm specifications/2 算法文本 英文.pdf
hash-06;2150415;fc36e428a82d77bcfc54231bc911f124dd21cce61c97e3fe29b6bfef33c8635f;hash-06/Cuishen/Algorithm specifications/Algorithm specifications.pdf
hash-07;340533;5b53060d5ae14c3434bb16a460b034a7c692de54366f936915a0023aa367f7f2;hash-07/Dragon/Algorithm specifications/Algorithm specifications.pdf
hash-08;848285;6a846acc98114368059b96e42925877e06a4cdd423e36143ee274e2679dfbf9f;hash-08/Duet/Algorithm specifications/Algorithm specifications.pdf
hash-09;349544;d4282aa1f7395125766fa3f8b819252d61153d595275f454576086d7211f587f;hash-09/Eijen/Algorithm specifications/Eijen Hash.pdf
hash-10;642596;8e3a9a109f3188ab57cbd0156c243f80a6453051cf98006dfef11d66bdeb5fa8;hash-10/FEILIAN/Algorithm specifications/Specification.pdf
hash-11;739536;2e979d34a1a938f1730780a25ca252130c6c7a9e2ae4acd155d55568586e0083;hash-11/Garnet/Algorithm specifications/算法文本.pdf
hash-12;222925;552cdcf57adb4be223bec166db944405907c8b201452681f9aee96a4785b408b;hash-12/Iphe/Algorithm specifications/Algorithm-Specification.pdf
hash-13;370774;d441005afa2186e668f22ebfdc0ededf9eb796cecdc89a2f654a354d8bc2e7d9;hash-13/Juzi/Algorithm specifications/JuziHash.pdf
hash-14;1177763;63190edaf6bd2b85c93f21f49412567cfcb0c8330063c9124d19cd64cd91b141;hash-14/Laurus/Algorithm specifications/Cryptographic Hash Algorithm Laurus.pdf
hash-15;1241158;454300f46f71ea5cb74daa4df99f0a1a9c2276cdeb9aa7f9ff72f178b8e32bec;hash-15/Litchi/Algorithm specifications/Cryptographic Hash Algorithm Litchi.pdf
