ID;Type;Algorithm;Instance;Variant;SourceDirectory;PublicKeyBytes;SecretKeyBytes;CiphertextBytes;SharedSecretBytes;SignatureBytes;Passes;InitiatorStateBytes;ResponderStateBytes;TotalMessageBytes;DigestBits;DigestBytes
kem-11;kem;COMPASS-KEM;COMPASS-KEM-512;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/COMPASS-KEM-512;2848;6240;3264;32;;;;;;;
kem-12;kem;CTL;CTL-257-512;Reference_Implementation;Implementations and Test_Vectors/KEM-CTL-x86-Reference_Implementation/crypto_kem/Implementations/CTL-257-512;521;2953;473;16;;;;;;;
kem-12;kem;CTL;CTL-3329-2048;Reference_Implementation;Implementations and Test_Vectors/KEM-CTL-x86-Reference_Implementation/crypto_kem/Implementations/CTL-3329-2048;3009;15617;2353;48;;;;;;;
kem-12;kem;CTL;CTL-769-1024;Reference_Implementation;Implementations and Test_Vectors/KEM-CTL-x86-Reference_Implementation/crypto_kem/Implementations/CTL-769-1024;1230;6030;1006;32;;;;;;;
kem-13;kem;DKEM;DKEM-128;Reference_Implementation;Implementations/Reference_Implementation/DKEM-128;800;1600;800;32;;;;;;;
kem-13;kem;DKEM;DKEM-256;Reference_Implementation;Implementations/Reference_Implementation/DKEM-256;1568;3136;1600;32;;;;;;;
kem-13;kem;DKEM;DKEM-512;Reference_Implementation;Implementations/Reference_Implementation/DKEM-512;3392;6784;3136;64;;;;;;;
kem-14;kem;DTRU;DTRU-1024;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-1024;1536;2080;1280;32;;;;;;;
kem-14;kem;DTRU;DTRU-1024-PACK_PK;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-1024;1506;2050;1280;32;;;;;;;
kem-14;kem;DTRU;DTRU-1536;Reference_Implementation;Implementations and Test_Vectors/Implementations/Reference_Implementation/DTRU-1536;2304;3136;1920;64;;;;;;;
